shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20092,39.818289,-86.090163,640002
20092,39.818299,-86.088945,640003
20092,39.818312,-86.087892,640004
20092,39.818312,-86.087892,650001
20092,39.818314,-86.087717,650002
20092,39.818324,-86.086357,650003
20092,39.818339,-86.085129,650004
20092,39.818339,-86.085129,660001
20092,39.818340,-86.084994,660002
20092,39.818356,-86.083606,660003
20092,39.818356,-86.083186,660004
20092,39.818356,-86.083186,670001
20092,39.818354,-86.081900,670002
20092,39.818347,-86.080348,670003
20092,39.818347,-86.080348,680001
20092,39.818347,-86.080177,680002
20092,39.818348,-86.078896,680003
20092,39.818347,-86.078451,680004
20092,39.818347,-86.077866,680005
20092,39.818347,-86.077866,690001
20092,39.818347,-86.077714,690002
20092,39.818346,-86.076528,690003
20092,39.818340,-86.073310,690004
20092,39.818340,-86.073310,700001
20092,39.818339,-86.072990,700002
20092,39.818335,-86.071811,700003
20092,39.818326,-86.067980,700004
20092,39.818326,-86.067980,710001
20092,39.818318,-86.064702,710002
20092,39.818321,-86.064214,710003
20092,39.818321,-86.064214,720001
20092,39.818345,-86.058625,720002
20092,39.818345,-86.058625,730001
20092,39.818360,-86.054944,730002
20092,39.818360,-86.054944,740001
20092,39.818369,-86.052783,740002
20092,39.818369,-86.052783,750001
20092,39.818370,-86.052605,750002
20092,39.818371,-86.052313,750003
20092,39.818378,-86.051195,750004
20092,39.818379,-86.051028,750005
20092,39.818379,-86.051028,760001
20092,39.818398,-86.046421,760002
20092,39.818398,-86.046421,770001
20092,39.818401,-86.045802,770002
20092,39.816669,-86.045782,770003
20092,39.816040,-86.045773,770004
20092,39.816040,-86.045773,780001
20092,39.815845,-86.045770,780002
20092,39.813733,-86.045746,780003
20092,39.813733,-86.045746,790001
20092,39.811060,-86.045715,790002
20092,39.811060,-86.044505,790003
20092,39.811060,-86.044505,800001
20092,39.811058,-86.041494,800002
20092,39.811056,-86.040230,800003
20092,39.811056,-86.040091,800004
20092,39.811056,-86.040091,810001
20092,39.811055,-86.038899,810002
20092,39.811053,-86.036175,810003
20092,39.811056,-86.035011,810004
20092,39.811056,-86.035011,820001
20092,39.811057,-86.034823,820002
20092,39.811066,-86.032751,820003
20092,39.811084,-86.032477,820004
20092,39.811095,-86.032338,820005
20092,39.811140,-86.031947,820006
20092,39.811140,-86.031947,830001
20092,39.811140,-86.031947,830002
20092,39.811144,-86.031605,830003
20092,39.811144,-86.030690,830004
20092,39.811128,-86.030477,830005
20092,39.811083,-86.030106,830006
20092,39.811077,-86.029935,830007
20092,39.811077,-86.029935,840001
20092,39.811075,-86.029882,840002
20092,39.811078,-86.029822,840003
20092,39.811082,-86.027618,840004
20092,39.811093,-86.026913,840005
20092,39.811107,-86.026807,840006
20092,39.811121,-86.026743,840007
20092,39.811138,-86.026640,840008
20092,39.811143,-86.026268,840009
20092,39.811143,-86.026268,850001
20092,39.811168,-86.024714,850002
20092,39.811175,-86.024144,850003
20092,39.811175,-86.024144,860001
20092,39.811245,-86.018517,860002
20092,39.811245,-86.018517,870001
20092,39.811249,-86.018189,870002
20092,39.811281,-86.015815,870003
20092,39.811298,-86.014174,870004
20092,39.811298,-86.014174,880001
20092,39.811300,-86.014018,880002
20092,39.811326,-86.011943,880003
20092,39.811326,-86.011943,890001
20092,39.811354,-86.009725,890002
20092,39.811823,-86.009733,890003
20092,39.811823,-86.009733,900001
20092,39.816624,-86.009819,900002
20092,39.816621,-86.010389,900003
20092,39.816621,-86.010389,910001
20092,39.816607,-86.012923,910002
20092,39.816592,-86.015265,910003
20092,39.816592,-86.015265,920001
20092,39.816591,-86.015472,920002
20092,39.816584,-86.016814,920003
20092,39.816568,-86.017807,920004
20092,39.816568,-86.017807,930001
20092,39.816564,-86.018024,930002
20092,39.816526,-86.020573,930003
20092,39.816497,-86.022529,930004
20093,39.775584,-86.152324,10001
20093,39.775373,-86.152332,10002
20093,39.773981,-86.152386,10003
20093,39.773525,-86.152404,10004
20093,39.773525,-86.152404,20001
20093,39.773281,-86.152414,20002
20093,39.772578,-86.152441,20003
20093,39.772191,-86.152456,20004
20093,39.772191,-86.152456,30001
20093,39.771177,-86.152495,30002
20093,39.769780,-86.152549,30003
20093,39.769787,-86.152896,30004
20093,39.769787,-86.152896,40001
20093,39.769794,-86.153204,40002
20093,39.769801,-86.153456,40003
20093,39.769805,-86.153702,40004
20093,39.769822,-86.154360,40005
20093,39.769842,-86.155275,40006
20093,39.769855,-86.155890,40007
20093,39.769855,-86.155890,50001
20093,39.769861,-86.156175,50002
20093,39.769900,-86.157677,50003
20093,39.769900,-86.157677,60001
20093,39.769908,-86.157989,60002
20093,39.769920,-86.158680,60003
20093,39.769920,-86.158680,70001
20093,39.769923,-86.158893,70002
20093,39.769930,-86.159185,70003
20093,39.769944,-86.159797,70004
20093,39.769952,-86.159964,70005
20093,39.769983,-86.161604,70006
20093,39.769286,-86.161635,70007
20093,39.768907,-86.161650,70008
20093,39.768907,-86.161650,80001
20093,39.768588,-86.161662,80002
20093,39.767891,-86.161693,80003
20093,39.767149,-86.161719,80004
20093,39.765708,-86.161773,80005
20093,39.765666,-86.159944,80006
20093,39.765627,-86.158144,80007
20093,39.765606,-86.157237,80008
20093,39.765593,-86.156675,80009
20093,39.765593,-86.156675,90001
20093,39.765586,-86.156329,90002
20093,39.765558,-86.155123,90003
20093,39.765544,-86.154518,90004
20093,39.765810,-86.154510,90005
20093,39.766244,-86.154495,90006
20093,39.766985,-86.154468,90007
20093,39.767727,-86.154441,90008
20093,39.768424,-86.154414,90009
20093,39.768718,-86.154403,90010
20093,39.768718,-86.154403,100001
20093,39.769127,-86.154387,100002
20093,39.769822,-86.154360,100003
20093,39.770522,-86.154333,100004
20093,39.771031,-86.154313,100005
20093,39.771031,-86.154313,110001
20093,39.771219,-86.154306,110002
20093,39.771444,-86.154297,110003
20093,39.771917,-86.154279,110004
20093,39.772372,-86.154261,110005
20093,39.772372,-86.154261,120001
20093,39.772619,-86.154252,120002
20093,39.773320,-86.154225,120003
20093,39.773627,-86.154213,120004
20093,39.773735,-86.154208,120005
20093,39.773735,-86.154208,130001
20093,39.774017,-86.154198,130002
20093,39.774717,-86.154171,130003
20093,39.775412,-86.154143,130004
20093,39.775391,-86.153236,130005
20093,39.775373,-86.152332,130006
20093,39.775859,-86.152313,130007
20093,39.775859,-86.152313,140001
20093,39.776677,-86.152281,140002
20093,39.777243,-86.152260,140003
20093,39.777759,-86.152240,140004
20093,39.777759,-86.152240,150001
20093,39.777855,-86.152236,150002
20093,39.778259,-86.152214,150003
20093,39.778418,-86.152208,150004
20093,39.778709,-86.152199,150005
20093,39.778945,-86.152190,150006
20093,39.778945,-86.152190,160001
20093,39.779025,-86.152187,160002
20093,39.779582,-86.152170,160003
20093,39.780082,-86.152155,160004
20093,39.780584,-86.152138,160005
20093,39.780835,-86.152129,160006
20093,39.780835,-86.152129,170001
20093,39.781037,-86.152123,170002
20093,39.781062,-86.152127,170003
20093,39.781111,-86.152131,170004
20093,39.781512,-86.152119,170005
20093,39.781899,-86.152104,170006
20093,39.781965,-86.152115,170007
20093,39.781984,-86.152126,170008
20093,39.782050,-86.152148,170009
20093,39.782816,-86.152153,170010
20093,39.782816,-86.152153,180001
20093,39.782997,-86.152154,180002
20093,39.783200,-86.152156,180003
20093,39.784364,-86.152164,180004
20093,39.784364,-86.152164,190001
20093,39.784466,-86.152165,190002
20093,39.785498,-86.152172,190003
20093,39.786994,-86.152183,190004
20093,39.787378,-86.152185,190005
20093,39.787378,-86.152185,200001
20093,39.787466,-86.152186,200002
20093,39.787938,-86.152193,200003
20093,39.788347,-86.152199,200004
20093,39.788386,-86.152214,200005
20093,39.788413,-86.152235,200006
20093,39.788452,-86.152260,200007
20093,39.788490,-86.152275,200008
20093,39.788671,-86.152279,200009
20093,39.788671,-86.152279,210001
20093,39.790137,-86.152308,210002
20093,39.790680,-86.152319,210003
20093,39.790680,-86.152319,220001
20093,39.792616,-86.152357,220002
20093,39.792984,-86.152359,220003
20093,39.792984,-86.152359,230001
20093,39.793865,-86.152363,230002
20093,39.795715,-86.152362,230003
