stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10250,10250,"38th St & Wittfield St",,  39.826017, -86.004863,,,0,
10251,10251,"38th St & Parliament Ln",,  39.826063, -86.001068,,,0,
10253,10253,"38th St & Tudor Park Dr",,  39.826161, -85.994813,,,0,
10254,10254,"Mitthoefer Rd & 30th St",,  39.812643, -85.991039,,,0,
10257,10257,"Mitthoefer Rd & Ridgefield Dr",,  39.818089, -85.991036,,,0,
10258,10258,"38th St & Franklin Rd - Walmart Market",,  39.826008, -86.025923,,,0,
10259,10259,"Meridian St & 38th St",,  39.824632, -86.156755,,,0,
10260,10260,"38th St & Delaware St",,  39.824856, -86.153026,,,0,
10261,10261,"38th St & New Jersey St",,  39.824904, -86.150010,,,0,
10262,10262,"38th St & Park Ave",,  39.824933, -86.147764,,,0,
10263,10263,"38th St & College Ave",,  39.824986, -86.144792,,,0,
10264,10264,"38th St & Guilford Ave",,  39.825016, -86.142802,,,0,
10265,10265,"38th St & Watson Rd",,  39.825288, -86.140090,,,0,
10266,10266,"38th St & Coliseum Ave",,  39.825332, -86.137410,,,0,
10267,10267,"38th St & Woodland Ave",,  39.825364, -86.135064,,,0,
10268,10268,"38th St & Fall Creek Pkwy",,  39.825384, -86.133476,,,0,
10269,10269,"3500 N Mitthoefer",,  39.820420, -85.992034,,,0,
10300,10300,"38th St & Meridian St",,  39.824942, -86.158004,,,0,
10301,10301,"38th St & Rookwood Ave",,  39.824899, -86.167367,,,0,
10302,10302,"38th St & Clarendon Rd",,  39.824887, -86.171561,,,0,
10303,10303,"38th St & Michigan Rd",,  39.824749, -86.181725,,,0,
10304,10304,"38th St & Private Dr",,  39.824703, -86.183918,,,0,
10305,10305,"38th St & Knollton Rd",,  39.824598, -86.198005,,,0,
10306,10306,"Lafayette Rd & 38th St",,  39.825569, -86.236340,,,0,
10307,10307,"Lafayette Rd - 3950 N - Lafayette Sq",,  39.826916, -86.237722,,,0,
10308,10308,"Georgetown Rd - 4000 N",,  39.827163, -86.240473,,,0,
10309,10309,"Georgetown Rd & 38th St",,  39.825415, -86.240277,,,0,
10312,10312,"38th St & Georgetown Rd",,  39.824062, -86.240853,,,0,
10313,10313,"38th St & Private Dr",,  39.824035, -86.244655,,,0,
10314,10314,"38th St & Gemco Ln",,  39.824030, -86.246774,,,0,
10315,10315,"38th St & Private Dr",,  39.823977, -86.250672,,,0,
10316,10316,"38th St - 5400 W",,  39.823935, -86.253562,,,0,
10317,10317,"38th St & Moller Rd",,  39.823898, -86.257158,,,0,
10319,10319,"38th St & Kiel Ave",,  39.823787, -86.262757,,,0,
10320,10320,"38th St & Parkwood Ct",,  39.823759, -86.264438,,,0,
10321,10321,"38th St & Lawndale Ave",,  39.823702, -86.266367,,,0,
10322,10322,"38th St & Eagle Creek Pkwy",,  39.823429, -86.282410,,,0,
10323,10323,"Eagle Creek Pkwy & Private Dr",,  39.824254, -86.283222,,,0,
10324,10324,"Eagle Creek Pkwy & Parkdale Pl",,  39.826411, -86.283295,,,0,
10325,10325,"Eagle Creek Pkwy & Eagle Highlands Way",,  39.827783, -86.283311,,,0,
10326,10326,"Eagle Creek Pkwy & Shore Terrace",,  39.829260, -86.283937,,,0,
10327,10327,"Shore Terrace - 6900 W",,  39.829867, -86.282785,,,0,
10328,10328,"Eagle Highlands Way & Private Dr",,  39.828128, -86.280519,,,0,
10329,10329,"Eagle Creek Pkwy & Eagle Highlands Way",,  39.827667, -86.283459,,,0,
10330,10330,"Eagle Creek Pkwy & Private Dr",,  39.826366, -86.283487,,,0,
10331,10331,"38th St & Shore Dr",,  39.823247, -86.281942,,,0,
10332,10332,"38th St & High School Rd",,  39.823413, -86.269198,,,0,
10333,10333,"38th St & Lawndale Ave",,  39.823492, -86.266130,,,0,
10334,10334,"38th St & Kiel Ave",,  39.823604, -86.261990,,,0,
10335,10335,"38th St - 5600 W",,  39.823663, -86.259114,,,0,
10336,10336,"38th St & Moller Rd",,  39.823718, -86.255244,,,0,
10337,10337,"38th St & Kevin Way",,  39.823784, -86.249894,,,0,
10338,10338,"38th St & Gemco Ln",,  39.823829, -86.246836,,,0,
10339,10339,"38th St & Georgetown Rd",,  39.823873, -86.239107,,,0,
10340,10340,"Lafayette Rd & 37th St",,  39.821970, -86.233039,,,0,
